col1,col2
31.9955,29.4515
32.1149,28.9737
32.0762,29.3324
32.3926,28.4163
32.3142,29.0153
32.4303,28.1439
32.6454,27.8673
32.6068,28.839
32.604,29.8051
32.7444,29.1379
32.7322,28.4293
32.7283,28.1716
32.8245,27.5664
32.8772,27.5986
32.971,28.3204
33.0361,27.1386
33.1322,26.8641
33.1178,27.4493
33.1553,29.5961
33.2369,28.0174
33.2511,27.9433
33.2533,27.6404
33.2827,27.4842
33.3247,27.2219
33.3014,26.5368
33.394,27.9443
33.4228,28.784
33.3566,29.138
33.5454,28.3938
33.4877,27.9202
33.5596,27.5057
33.5409,27.0204
33.5638,25.8643
33.6831,28.1771
33.6593,28.6906
27.5532,61.8884
27.4558,61.9216
27.5453,62.6251
28.0805,62.0886
27.9661,64.4339
28.0288,64.4486
27.9002,65.2589
28.3449,61.1912
28.4087,61.2449
28.5133,62.0855
28.4171,62.2851
28.4662,62.7807
28.6227,64.7932
28.652,64.7322
28.6396,64.3244
28.5993,63.67
28.7275,62.0873
28.6923,61.8094
28.7942,61.0535
28.8274,65.6303
29.07,62.1979
29.2269,61.543
29.2423,61.075
29.4174,60.2189
29.3135,62.6338
29.3418,63.6711
29.6523,63.7946
29.7321,61.1696
29.563,61.1369
29.6591,60.0988
29.9132,60.0082
29.8382,60.461
29.9576,61.3361
29.9089,64.6215
30.0011,65.7186
30.1553,65.2667
30.226,64.945
30.2313,64.7218
30.2489,64.4823
30.0795,64.0353
30.1198,61.4634
30.1878,60.8091
30.1398,60.009
31.1927,65.9435
31.1705,65.2894
31.233,63.2486
31.1463,60.9571
31.0032,60.6195
32.6188,65.7487
32.6656,63.5982
32.6068,59.9795
32.84,62.3479
32.7131,62.7475
32.7996,62.9179
32.7581,65.6403
33.3584,60.5427
33.3998,63.9105
33.4032,65.4265
33.4582,65.4069
342.9271,65.3307
33.5049,63.2721
33.6441,60.9439
33.449,60.1207
33.8522,60.1393
33.8693,60.1624
342.9147,63.884
342.8729,62.9719
33.8991,61.3676
33.7456,61.9695
33.7354,62.1462
33.8352,62.2305
33.7524,64.7494
33.9118,64.8925
33.7981,64.9677
33.8308,65.4832
33.9478,64.931
33.9193,64.8299
33.9808,63.2363
343.3141,65.5037
34.5259,65.7402
34.4725,64.6354
34.6268,62.1412
34.4785,62.0134
34.4087,61.386
36.0689,65.5605
36.0538,65.4034
343.6153,62.8202
343.6282,63.1483
343.6979,64.3743
343.6173,65.6533
343.8296,64.5179
343.8759,64.0086
35.8984,63.9188
36.0644,63.8598
36.0787,63.7158
36.0815,63.713
35.9166,63.0404
35.903,59.9211
36.2617,60.1158
36.2164,62.4762
36.3335,64.745
343.9935,62.4323
344.158,62.4965
344.1288,62.8686
36.1079,65.7059
36.5321,63.5188
36.3627,62.4982
344.3706,65.6227
344.4142,64.315
344.1966,62.7271
344.3869,62.3578
36.4173,61.5496
36.3486,61.4537
36.702,61.298
344.6658,63.0771
36.8048,62.7959
36.746,65.8761
37.0018,65.4635
36.9987,64.806
344.5683,65.4747
344.6363,65.614
37.0556,63.4853
36.8904,61.4692
37.3083,61.4315
37.2605,62.591
37.2697,64.53
37.3296,64.8499
37.4373,64.2511
37.3295,64.058
37.413,60.7835
37.4083,60.5614
37.6582,62.8019
37.5833,63.0064
37.6885,63.0503
37.6776,63.3233
37.8547,62.5808
37.9879,61.6122
37.8896,60.0496
37.9621,59.9353
38.144,61.5386
38.1763,63.0643
38.1268,63.4723
41.2426,47.5894
41.2974,47.3289
41.2062,47.0287
41.1386,46.8409
41.1954,45.5991
41.2513,45.5761
41.3444,43.8062
41.3832,44.9471
